,a,b,turns
509,4.506446361541748,4.506446361541748,20
510,4.448119640350342,4.448119640350342,4
511,4.7199811935424805,4.7199811935424805,17
512,4.455294609069824,4.455294609069824,5
513,4.575932025909424,4.585141658782959,20
514,4.63818883895874,4.604054927825928,7
515,4.648502826690674,4.648154258728027,11
516,4.602150917053223,4.602150917053223,8
517,4.827324390411377,4.827324390411377,20
518,4.649928569793701,4.682498931884766,12
519,4.596364974975586,4.596364974975586,8
520,4.612283706665039,4.612283706665039,19
521,4.679661273956299,4.682841777801514,8
522,4.696148872375488,4.600531578063965,9
523,4.697268962860107,4.713512897491455,15
524,4.392995834350586,4.392995834350586,3
525,4.7857136726379395,4.831019401550293,20
526,4.792094707489014,4.792094707489014,20
527,4.486123561859131,4.481278896331787,4
528,4.63864278793335,4.63864278793335,20
529,4.320671081542969,4.320671081542969,3
530,4.904374122619629,4.904374122619629,20
531,4.292871952056885,4.258021354675293,20
532,4.7463059425354,4.7712721824646,11
533,4.553223133087158,4.593932151794434,19
534,4.650382041931152,4.504406452178955,7
535,4.558619976043701,4.58742094039917,17
536,4.532073020935059,4.6751837730407715,20
537,4.45316743850708,4.3565239906311035,20
538,4.655431270599365,4.652038097381592,20
539,4.673537731170654,4.670906066894531,8
540,4.477707862854004,4.493211269378662,12
541,4.534111499786377,4.55009126663208,9
542,4.050657272338867,4.107756614685059,6
543,4.692123889923096,4.692123889923096,9
544,4.25841760635376,4.163642883300781,5
545,4.307868957519531,4.29443359375,11
546,4.613919258117676,4.597474098205566,12
547,4.826675891876221,4.823619365692139,17
548,4.235898971557617,4.235898971557617,3
549,4.560983180999756,4.545036792755127,10
550,4.726951599121094,4.72953462600708,15
551,4.751739978790283,4.731627464294434,18
552,4.836961269378662,4.8394246101379395,20
553,4.380970478057861,4.380970478057861,9
554,4.595905303955078,4.595905303955078,20
555,4.612746715545654,4.634646415710449,12
556,4.7097296714782715,4.631190776824951,20
557,4.784670829772949,4.763002872467041,17
558,4.451392650604248,4.451392650604248,7
559,4.745319366455078,4.745319366455078,19
560,4.8269805908203125,4.83040189743042,11
561,4.6353840827941895,4.584748268127441,12
562,4.832564830780029,4.832564830780029,18
563,4.285065650939941,4.35557222366333,6
564,4.847367763519287,4.847367763519287,10
565,4.516169548034668,4.521308898925781,19
566,4.267920017242432,4.267920017242432,3
567,4.7154130935668945,4.722038745880127,20
568,4.7390217781066895,4.733985424041748,18
569,4.660703182220459,4.683009147644043,16
570,4.604726314544678,4.575810432434082,18
571,4.8327789306640625,4.8327789306640625,20
572,4.484828948974609,4.484828948974609,14
573,4.646949768066406,4.646949768066406,20
574,4.814439296722412,4.819855690002441,20
575,4.721069812774658,4.721069812774658,19
576,4.367546081542969,4.306323051452637,4
577,4.467980861663818,4.640700817108154,5
578,4.743926525115967,4.688655853271484,16
579,4.908710479736328,4.908710479736328,20
580,4.65896463394165,4.65896463394165,20
581,4.547175884246826,4.547175884246826,4
582,4.7292914390563965,4.7292914390563965,13
583,4.205005645751953,4.205005645751953,3
584,4.3642802238464355,4.3642802238464355,20
585,4.6770148277282715,4.686984539031982,19
586,4.660295009613037,4.660295009613037,20
587,4.47629976272583,4.47629976272583,6
588,4.8147196769714355,4.8147196769714355,20
589,4.381800651550293,4.4317097663879395,5
590,4.24911642074585,4.33774995803833,8
591,4.369662284851074,4.369662284851074,5
592,4.819676399230957,4.838374614715576,20
593,4.566938877105713,4.547179222106934,11
594,4.517406463623047,4.5740742683410645,4
595,4.520852088928223,4.522128582000732,12
596,4.688591003417969,4.74696683883667,20
597,4.573760509490967,4.466797351837158,8
598,4.453948497772217,4.408552169799805,6
599,4.780996799468994,4.7858195304870605,7
600,4.703136920928955,4.703136920928955,20
601,4.338988780975342,4.348491191864014,5
602,4.5855255126953125,4.497011661529541,7
603,4.6229448318481445,4.62327766418457,14
604,4.720032691955566,4.735939979553223,20
605,4.177090167999268,4.149115562438965,5
606,4.684564113616943,4.686808109283447,20
607,4.86989688873291,4.86989688873291,18
608,4.748904705047607,4.749879837036133,20
609,4.644728660583496,4.699595928192139,16
610,4.586862087249756,4.515821933746338,9
611,4.5023674964904785,4.5268778800964355,3
612,4.663093090057373,4.650903224945068,8
613,4.643580913543701,4.643580913543701,15
614,4.751463413238525,4.711658000946045,20
615,4.367852210998535,4.355412006378174,20
616,4.256471633911133,4.256471633911133,5
617,4.490571975708008,4.558528900146484,20
618,4.50832462310791,4.50832462310791,16
619,4.757046222686768,4.757046222686768,20
620,4.365760326385498,4.365760326385498,7
621,4.515017986297607,4.523319721221924,4
622,4.8411102294921875,4.8411102294921875,20
623,4.793845176696777,4.7679033279418945,8
624,4.562342643737793,4.6417036056518555,13
625,4.567417621612549,4.553683280944824,19
626,4.79117488861084,4.786800384521484,20
627,4.541196346282959,4.559939861297607,20
628,4.6708269119262695,4.6708269119262695,18
629,4.791985511779785,4.783109188079834,11
630,4.329955101013184,4.255393981933594,6
631,4.775971412658691,4.775971412658691,11
632,4.4900994300842285,4.62086296081543,20
633,4.7525105476379395,4.767095565795898,20
634,4.5506672859191895,4.5506672859191895,15
